case_id,order_index,order,N,rep,seed,estimate,error,abs_error
gaussian_rectangle_d5,1,2-3-4,1024,1,830002,0.12537598482936077,-0.0007843464958274815,0.0007843464958274815
gaussian_rectangle_d5,2,3-2-4,1024,1,830002,0.1252311564521424,-0.0009291748730458627,0.0009291748730458627
gaussian_rectangle_d5,3,3-4-2,1024,1,830002,0.1258170552043647,-0.0003432761208235491,0.0003432761208235491
gaussian_rectangle_d5,4,4-3-2,1024,1,830002,0.12569090666972207,-0.0004694246554661774,0.0004694246554661774
gaussian_rectangle_d5,1,2-3-4,1024,2,830003,0.12668516111757971,0.0005248297923914624,0.0005248297923914624
gaussian_rectangle_d5,2,3-2-4,1024,2,830003,0.12735423530487014,0.0011939039796818873,0.0011939039796818873
gaussian_rectangle_d5,3,3-4-2,1024,2,830003,0.12693252013187178,0.0007721888066835325,0.0007721888066835325
gaussian_rectangle_d5,4,4-3-2,1024,2,830003,0.12756972987607496,0.0014093985508867035,0.0014093985508867035
gaussian_rectangle_d5,1,2-3-4,1024,3,830004,0.12625553158430922,9.520025912096441e-5,9.520025912096441e-5
gaussian_rectangle_d5,2,3-2-4,1024,3,830004,0.12679520893640078,0.0006348776112125309,0.0006348776112125309
gaussian_rectangle_d5,3,3-4-2,1024,3,830004,0.12539798232984276,-0.0007623489953454965,0.0007623489953454965
gaussian_rectangle_d5,4,4-3-2,1024,3,830004,0.1262569639226581,9.663259746983677e-5,9.663259746983677e-5
gaussian_rectangle_d5,1,2-3-4,1024,4,830005,0.1268244953035757,0.0006641639783874498,0.0006641639783874498
gaussian_rectangle_d5,2,3-2-4,1024,4,830005,0.1270633506930544,0.0009030193678661591,0.0009030193678661591
gaussian_rectangle_d5,3,3-4-2,1024,4,830005,0.12679854537216273,0.0006382140469744779,0.0006382140469744779
gaussian_rectangle_d5,4,4-3-2,1024,4,830005,0.12741254915854133,0.001252217833353081,0.001252217833353081
gaussian_rectangle_d5,1,2-3-4,1024,5,830006,0.1256903995125143,-0.00046993181267396267,0.00046993181267396267
gaussian_rectangle_d5,2,3-2-4,1024,5,830006,0.1247682366325873,-0.0013920946926009453,0.0013920946926009453
gaussian_rectangle_d5,3,3-4-2,1024,5,830006,0.12437049407360305,-0.0017898372515851996,0.0017898372515851996
gaussian_rectangle_d5,4,4-3-2,1024,5,830006,0.12341640853171981,-0.0027439227934684396,0.0027439227934684396
gaussian_rectangle_d5,1,2-3-4,1024,6,830007,0.1261495535283904,-1.0777796797839523e-5,1.0777796797839523e-5
gaussian_rectangle_d5,2,3-2-4,1024,6,830007,0.12580127099503097,-0.0003590603301572848,0.0003590603301572848
gaussian_rectangle_d5,3,3-4-2,1024,6,830007,0.12611951887889272,-4.081244629552949e-5,4.081244629552949e-5
gaussian_rectangle_d5,4,4-3-2,1024,6,830007,0.12596129812004156,-0.00019903320514669254,0.00019903320514669254
gaussian_rectangle_d5,1,2-3-4,1024,7,830008,0.1259233651014936,-0.00023696622369465126,0.00023696622369465126
gaussian_rectangle_d5,2,3-2-4,1024,7,830008,0.12673103505329025,0.0005707037281020011,0.0005707037281020011
gaussian_rectangle_d5,3,3-4-2,1024,7,830008,0.12621044294827963,5.011162309137562e-5,5.011162309137562e-5
gaussian_rectangle_d5,4,4-3-2,1024,7,830008,0.12702566519627984,0.0008653338710915837,0.0008653338710915837
gaussian_rectangle_d5,1,2-3-4,1024,8,830009,0.1278209209905864,0.0016605896653981433,0.0016605896653981433
gaussian_rectangle_d5,2,3-2-4,1024,8,830009,0.12854905982063194,0.0023887284954436927,0.0023887284954436927
gaussian_rectangle_d5,3,3-4-2,1024,8,830009,0.12749800508262207,0.0013376737574338216,0.0013376737574338216
gaussian_rectangle_d5,4,4-3-2,1024,8,830009,0.12824927950462606,0.002088948179437805,0.002088948179437805
gaussian_rectangle_d5,1,2-3-4,1024,9,830010,0.1267586275297216,0.0005982962045333606,0.0005982962045333606
gaussian_rectangle_d5,2,3-2-4,1024,9,830010,0.12665404326292304,0.0004937119377347865,0.0004937119377347865
gaussian_rectangle_d5,3,3-4-2,1024,9,830010,0.12776165322655164,0.0016013219013633895,0.0016013219013633895
gaussian_rectangle_d5,4,4-3-2,1024,9,830010,0.12763740498855644,0.0014770736633681891,0.0014770736633681891
gaussian_rectangle_d5,1,2-3-4,1024,10,830011,0.12613803125706666,-2.2300068121594574e-5,2.2300068121594574e-5
gaussian_rectangle_d5,2,3-2-4,1024,10,830011,0.12699242606906805,0.0008320947438797965,0.0008320947438797965
gaussian_rectangle_d5,3,3-4-2,1024,10,830011,0.12693865338670465,0.000778322061516401,0.000778322061516401
gaussian_rectangle_d5,4,4-3-2,1024,10,830011,0.1280081518366351,0.001847820511446857,0.001847820511446857
gaussian_rectangle_d5,1,2-3-4,1024,11,830012,0.12715976746504654,0.000999436139858284,0.000999436139858284
gaussian_rectangle_d5,2,3-2-4,1024,11,830012,0.12763631447970042,0.001475983154512167,0.001475983154512167
gaussian_rectangle_d5,3,3-4-2,1024,11,830012,0.12765715355833862,0.0014968222331503689,0.0014968222331503689
gaussian_rectangle_d5,4,4-3-2,1024,11,830012,0.12835400181663204,0.0021936704914437832,0.0021936704914437832
gaussian_rectangle_d5,1,2-3-4,1024,12,830013,0.12553982569749153,-0.0006205056276967214,0.0006205056276967214
gaussian_rectangle_d5,2,3-2-4,1024,12,830013,0.125784078483931,-0.0003762528412572519,0.0003762528412572519
gaussian_rectangle_d5,3,3-4-2,1024,12,830013,0.12509797133501235,-0.0010623599901758984,0.0010623599901758984
gaussian_rectangle_d5,4,4-3-2,1024,12,830013,0.12540921517291642,-0.0007511161522718302,0.0007511161522718302
gaussian_rectangle_d5,1,2-3-4,1024,13,830014,0.126318977685086,0.000158646359897735,0.000158646359897735
gaussian_rectangle_d5,2,3-2-4,1024,13,830014,0.1261866252925821,2.6293967393842266e-5,2.6293967393842266e-5
