case_id,order_index,order,N,mean_integrand,reference,reference_uncertainty,variance,variance_se,q1
gaussian_rectangle_d5,1,2-3-4,262144,0.12617499759133144,0.12616033132518825,2.522332435296678e-11,0.0003878645563156318,1.105611445673225e-6,0.49999999999999994
gaussian_rectangle_d5,2,3-2-4,262144,0.12616520816081406,0.12616033132518825,2.522332435296678e-11,0.0006574497134818816,1.5847115884536191e-6,0.6000000000000001
gaussian_rectangle_d5,3,3-4-2,262144,0.12617317236746622,0.12616033132518825,2.522332435296678e-11,0.0011011847332687069,2.4134402077089156e-6,0.6000000000000001
gaussian_rectangle_d5,4,4-3-2,262144,0.12616029096481896,0.12616033132518825,2.522332435296678e-11,0.0015967870075496923,3.0174899125907938e-6,0.7000000000000001
gaussian_strong_d5,1,2-3-4,262144,0.5747146820918418,0.5746657749936169,1.1492969213353566e-10,0.028511021020320566,7.874233845081169e-5,0.72
gaussian_strong_d5,2,3-2-4,262144,0.5747385435756102,0.5746657749936169,1.1492969213353566e-10,0.02833327007869542,7.984207989238097e-5,0.72
gaussian_strong_d5,3,3-4-2,262144,0.5747385435756102,0.5746657749936169,1.1492969213353566e-10,0.02833327007869542,7.984207989238097e-5,0.72
gaussian_strong_d5,4,4-3-2,262144,0.5747146820918418,0.5746657749936169,1.1492969213353566e-10,0.028511021020320566,7.874233845081169e-5,0.72
genuine_rvine_d5,1,2-3-4,262144,0.15603599587290223,0.15633547880472826,3.126607787872418e-11,0.009864432269381803,2.933515605870365e-5,0.61
genuine_rvine_d5,2,2-4-3,262144,0.1560663884158733,0.15633547880472826,3.126607787872418e-11,0.010214559336138991,3.2134276148950286e-5,0.61
genuine_rvine_d5,3,3-2-4,262144,0.1561203495110596,0.15633547880472826,3.126607787872418e-11,0.004980377451755208,1.3469302263936661e-5,0.47
genuine_rvine_d5,4,4-2-3,262144,0.15627167921722301,0.15633547880472826,3.126607787872418e-11,0.009777894279439517,3.340474305249548e-5,0.73
