case_id,order_index,order,N,rep,seed,estimate,error,abs_error,runtime_s
gaussian_rectangle_d5,1,2-3-4,256,1,1810002,0.12615810443353098,-2.2268916572698583e-6,2.2268916572698583e-6,1.132127083
gaussian_rectangle_d5,2,3-2-4,256,1,1810002,0.12616348826246662,3.1569372783701866e-6,3.1569372783701866e-6,0.002214084
gaussian_rectangle_d5,3,3-4-2,256,1,1810002,0.12617038784008092,1.005651489266457e-5,1.005651489266457e-5,0.001958209
gaussian_rectangle_d5,4,4-3-2,256,1,1810002,0.1261767051399364,1.6373814748144033e-5,1.6373814748144033e-5,0.001936958
gaussian_rectangle_d5,1,2-3-4,256,2,1810003,0.12616086789674497,5.365715567140494e-7,5.365715567140494e-7,0.001926458
gaussian_rectangle_d5,2,3-2-4,256,2,1810003,0.12616130212024093,9.707950526793852e-7,9.707950526793852e-7,0.001930917
gaussian_rectangle_d5,3,3-4-2,256,2,1810003,0.1261659551880548,5.623862866538376e-6,5.623862866538376e-6,0.001945041
gaussian_rectangle_d5,4,4-3-2,256,2,1810003,0.12617105184856353,1.07205233752794e-5,1.07205233752794e-5,0.001933125
gaussian_rectangle_d5,1,2-3-4,256,3,1810004,0.1261881539133257,2.782258813743832e-5,2.782258813743832e-5,0.001936375
gaussian_rectangle_d5,2,3-2-4,256,3,1810004,0.12619258448934553,3.225316415728097e-5,3.225316415728097e-5,0.001980958
gaussian_rectangle_d5,3,3-4-2,256,3,1810004,0.1261837017221999,2.3370397011640565e-5,2.3370397011640565e-5,0.001981375
gaussian_rectangle_d5,4,4-3-2,256,3,1810004,0.12618841824578833,2.808692060007889e-5,2.808692060007889e-5,0.001998792
gaussian_rectangle_d5,1,2-3-4,256,4,1810005,0.12615159413525343,-8.737189934826528e-6,8.737189934826528e-6,0.001987458
gaussian_rectangle_d5,2,3-2-4,256,4,1810005,0.1261531929788024,-7.138346385854311e-6,7.138346385854311e-6,0.001980875
gaussian_rectangle_d5,3,3-4-2,256,4,1810005,0.12613087419618563,-2.945712900262465e-5,2.945712900262465e-5,0.001970959
