industry,transform,observations,lag_vectors,first_date,last_date,tied_windows,fitting_time_s,selection_criterion,tree_criterion,candidate_families,families,terminal_a,terminal_b,admissible_orders,model_file
NoDur,returns,5032,5028,2015-01-02,2024-12-31,163,14.229483834,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel,3,4,4,models/NoDur_returns.jls
NoDur,absolute,5032,5028,2015-01-02,2024-12-31,338,3.547598958,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Joe;Joe;Joe;Joe;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton,1,2,4,models/NoDur_absolute.jls
Durbl,returns,5032,5028,2015-01-02,2024-12-31,136,2.231628542,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel,1,5,4,models/Durbl_returns.jls
Durbl,absolute,5032,5028,2015-01-02,2024-12-31,230,2.479608375,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Joe;Gumbel;Joe;Joe;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton,2,5,4,models/Durbl_absolute.jls
Manuf,returns,5032,5028,2015-01-02,2024-12-31,136,2.304767459,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel,3,4,4,models/Manuf_returns.jls
Manuf,absolute,5032,5028,2015-01-02,2024-12-31,265,2.075130708,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Joe;Joe;Joe;Joe;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton,1,3,4,models/Manuf_absolute.jls
Enrgy,returns,5032,5028,2015-01-02,2024-12-31,96,2.324221125,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel,3,4,4,models/Enrgy_returns.jls
Enrgy,absolute,5032,5028,2015-01-02,2024-12-31,161,2.269216375,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Joe;Clayton;Clayton;Joe;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton,1,3,4,models/Enrgy_absolute.jls
HiTec,returns,5032,5028,2015-01-02,2024-12-31,121,2.476673709,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel,2,5,4,models/HiTec_returns.jls
HiTec,absolute,5032,5028,2015-01-02,2024-12-31,220,2.460216958,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton,3,4,4,models/HiTec_absolute.jls
Telcm,returns,5032,5028,2015-01-02,2024-12-31,151,2.397782209,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel,1,5,4,models/Telcm_returns.jls
Telcm,absolute,5032,5028,2015-01-02,2024-12-31,299,2.401680417,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Joe;Joe;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton,2,3,4,models/Telcm_absolute.jls
Shops,returns,5032,5028,2015-01-02,2024-12-31,181,2.341615083,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel,3,4,4,models/Shops_returns.jls
Shops,absolute,5032,5028,2015-01-02,2024-12-31,330,2.795886875,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Joe;Joe;Joe;Joe;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton,2,5,4,models/Shops_absolute.jls
Hlth,returns,5032,5028,2015-01-02,2024-12-31,120,2.258698417,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel,1,5,4,models/Hlth_returns.jls
Hlth,absolute,5032,5028,2015-01-02,2024-12-31,270,3.664375625,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Clayton;Clayton;Joe;Joe;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton,2,4,4,models/Hlth_absolute.jls
Utils,returns,5032,5028,2015-01-02,2024-12-31,161,2.714048667,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel,2,3,4,models/Utils_returns.jls
Utils,absolute,5032,5028,2015-01-02,2024-12-31,328,3.052704708,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Joe;Joe;Joe;Joe;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton,1,5,4,models/Utils_absolute.jls
Other,returns,5032,5028,2015-01-02,2024-12-31,184,2.400157875,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel;Gumbel,2,3,4,models/Other_returns.jls
Other,absolute,5032,5028,2015-01-02,2024-12-31,362,3.360460709,bic,absolute_kendall_tau,Gaussian;Clayton;Gumbel;Frank;Joe;Independence,Joe;Joe;Joe;Joe;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton,2,5,4,models/Other_absolute.jls
