industry,transform,pattern_index,pattern,terminal_adjacent,integration_dimension,N,R,seed,model_probability,numerical_se,empirical_frequency,runtime_s
NoDur,returns,1,1-2-3-4-5,true,4,4096,8,1940101,0.010282099622212949,1.2678717638894391e-5,0.007605344295991778,2.198359208
NoDur,returns,2,1-2-3-5-4,false,3,4096,8,1940201,0.008574231705295532,1.0812405173418386e-6,0.008016443987667009,0.407826917
NoDur,returns,3,1-2-4-3-5,true,4,4096,8,1940301,0.009972817541234998,8.877343737993628e-6,0.008427543679342241,0.640116458
NoDur,returns,4,1-2-4-5-3,false,3,4096,8,1940401,0.00965589287378381,1.2884245715286008e-6,0.010071942446043165,0.329620834
NoDur,returns,5,1-2-5-3-4,true,4,4096,8,1940501,0.0076971512363451025,1.1384474752133262e-6,0.0065775950668037,0.414056459
NoDur,returns,6,1-2-5-4-3,true,4,4096,8,1940601,0.00885012711640344,8.906721226099019e-7,0.008221993833504625,0.4063645
NoDur,returns,7,1-3-2-4-5,false,3,4096,8,1940701,0.00941682390763866,2.58377963523361e-6,0.006372045220966085,0.364059625
NoDur,returns,8,1-3-2-5-4,false,3,4096,8,1940801,0.0076523121402521,6.46134081005917e-7,0.008427543679342241,0.344494625
NoDur,returns,9,1-3-4-2-5,true,4,4096,8,1940901,0.008576196009625552,8.826175108202344e-6,0.009660842754367934,0.454794834
NoDur,returns,10,1-3-4-5-2,true,4,4096,8,1941001,0.0069913252017847,3.999845730295813e-7,0.008838643371017472,0.470254417
NoDur,returns,11,1-3-5-2-4,false,3,4096,8,1941101,0.006310662459665952,4.84809718261637e-7,0.0067831449126413155,0.491088917
NoDur,returns,12,1-3-5-4-2,false,3,4096,8,1941201,0.006341304911921933,1.9963000120789794e-7,0.008016443987667009,0.358395667
NoDur,returns,13,1-4-2-3-5,false,3,4096,8,1941301,0.009357620312251375,3.3068354190999775e-6,0.0073997944501541625,0.359543
NoDur,returns,14,1-4-2-5-3,false,3,4096,8,1941401,0.009518555511838252,3.723277123421213e-6,0.005960945529290853,0.335201125
NoDur,returns,15,1-4-3-2-5,true,4,4096,8,1941501,0.008712886163094343,7.157189027492397e-6,0.008427543679342241,0.450873708
NoDur,returns,16,1-4-3-5-2,true,4,4096,8,1941601,0.007631414899776246,1.2665745998265641e-6,0.009044193216855087,0.43956075
NoDur,returns,17,1-4-5-2-3,false,3,4096,8,1941701,0.009518773334268036,4.851241459166841e-7,0.006988694758478931,0.325663542
NoDur,returns,18,1-4-5-3-2,false,3,4096,8,1941801,0.008235301620368906,3.9959500879150565e-7,0.008838643371017472,0.550438417
NoDur,returns,19,1-5-2-3-4,true,4,4096,8,1941901,0.006531649805331212,5.25472766819317e-7,0.010071942446043165,0.384526459
NoDur,returns,20,1-5-2-4-3,true,4,4096,8,1942001,0.007966478536639864,6.799020690008875e-7,0.006988694758478931,0.387882541
NoDur,returns,21,1-5-3-2-4,false,3,4096,8,1942101,0.006034517722850832,1.880991993577959e-7,0.005960945529290853,0.32096975
NoDur,returns,22,1-5-3-4-2,true,4,4096,8,1942201,0.006491731263154713,7.516750467762743e-7,0.008221993833504625,0.440591708
NoDur,returns,23,1-5-4-2-3,false,3,4096,8,1942301,0.008789547637606396,3.340992996390785e-7,0.009660842754367934,0.327235417
NoDur,returns,24,1-5-4-3-2,true,4,4096,8,1942401,0.007720211639810638,1.3639793428992845e-6,0.008427543679342241,0.437617334
NoDur,returns,25,2-1-3-4-5,true,4,4096,8,1942501,0.009511472379258505,2.509103984614804e-6,0.007810894141829393,0.442807292
NoDur,returns,26,2-1-3-5-4,false,3,4096,8,1942601,0.00970907707436853,6.260785861436539e-7,0.006372045220966085,0.328094583
NoDur,returns,27,2-1-4-3-5,true,4,4096,8,1942701,0.00848073299323715,2.6388860161362198e-6,0.005344295991778006,0.638185958
NoDur,returns,28,2-1-4-5-3,false,3,4096,8,1942801,0.008283568801023947,1.2053026301501404e-7,0.007810894141829393,0.311430417
NoDur,returns,29,2-1-5-3-4,true,4,4096,8,1942901,0.008552340773933721,4.022690704635653e-7,0.0065775950668037,0.390184
NoDur,returns,30,2-1-5-4-3,true,4,4096,8,1943001,0.008193131862676272,5.32060541213013e-7,0.009660842754367934,0.387013875
NoDur,returns,31,2-3-1-4-5,false,3,4096,8,1943101,0.0094918834979117,1.9382587495499348e-6,0.009660842754367934,0.346292042
NoDur,returns,32,2-3-1-5-4,false,3,4096,8,1943201,0.010346173631652283,1.5463916341250736e-6,0.008633093525179856,0.325497792
NoDur,returns,33,2-3-4-1-5,true,4,4096,8,1943301,0.008017319089608722,9.382656358532003e-6,0.007605344295991778,0.44142775
NoDur,returns,34,2-3-4-5-1,true,4,4096,8,1943401,0.007789212968716883,8.402456899460586e-7,0.006166495375128468,0.438380292
NoDur,returns,35,2-3-5-1-4,false,3,4096,8,1943501,0.010049666153523148,8.564606626774034e-7,0.008633093525179856,0.527856208
NoDur,returns,36,2-3-5-4-1,false,3,4096,8,1943601,0.008872309006384032,4.1593408722198404e-7,0.010277492291880781,0.338844625
NoDur,returns,37,2-4-1-3-5,false,3,4096,8,1943701,0.006969958781271777,1.4044160665057254e-6,0.007194244604316547,0.345898708
NoDur,returns,38,2-4-1-5-3,false,3,4096,8,1943801,0.007072896857459355,4.009626301201328e-7,0.008427543679342241,0.321321084
NoDur,returns,39,2-4-3-1-5,true,4,4096,8,1943901,0.006680853306319715,8.049540847264903e-6,0.007194244604316547,0.433071333
NoDur,returns,40,2-4-3-5-1,true,4,4096,8,1944001,0.006587794945855036,4.895078732298779e-7,0.008016443987667009,0.4349315
NoDur,returns,41,2-4-5-1-3,false,3,4096,8,1944101,0.006824470967765662,2.8380155015142715e-7,0.008838643371017472,0.324211458
NoDur,returns,42,2-4-5-3-1,false,3,4096,8,1944201,0.006647153338679327,4.98590013676223e-7,0.008838643371017472,0.351811375
NoDur,returns,43,2-5-1-3-4,true,4,4096,8,1944301,0.007807005856078353,1.1016755738620557e-6,0.00986639260020555,0.387388
NoDur,returns,44,2-5-1-4-3,true,4,4096,8,1944401,0.007394738063839583,8.100068261120765e-7,0.00986639260020555,0.386718208
NoDur,returns,45,2-5-3-1-4,false,3,4096,8,1944501,0.008600212149337785,2.7266446108132744e-7,0.0067831449126413155,0.324406292
NoDur,returns,46,2-5-3-4-1,true,4,4096,8,1944601,0.008061864106745805,6.101658055294093e-7,0.008633093525179856,0.444181833
NoDur,returns,47,2-5-4-1-3,false,3,4096,8,1944701,0.007154879442670426,1.6923710531857974e-7,0.008633093525179856,0.319649041
NoDur,returns,48,2-5-4-3-1,true,4,4096,8,1944801,0.00718347989601908,5.397499407744344e-7,0.008427543679342241,0.437759041
NoDur,returns,49,3-1-2-4-5,false,3,4096,8,1944901,0.009709687845376251,1.1394568287002448e-6,0.009249743062692703,0.325325375
NoDur,returns,50,3-1-2-5-4,false,3,4096,8,1945001,0.008783874141124139,1.0478793948221909e-7,0.009044193216855087,0.301037959
NoDur,returns,51,3-1-4-2-5,false,3,4096,8,1945101,0.008510632961245003,3.0989204129763495e-6,0.009044193216855087,0.326136125
NoDur,returns,52,3-1-4-5-2,false,3,4096,8,1945201,0.007110969493489694,6.561326562973344e-8,0.008221993833504625,0.313095708
NoDur,returns,53,3-1-5-2-4,false,3,4096,8,1945301,0.00730977239608696,3.425824694023568e-7,0.0073997944501541625,0.288728167
NoDur,returns,54,3-1-5-4-2,false,3,4096,8,1945401,0.006754803553162929,2.4753614514006775e-7,0.007810894141829393,0.313386125
NoDur,returns,55,3-2-1-4-5,false,3,4096,8,1945501,0.010571556158848673,2.7780566905652517e-6,0.007605344295991778,0.340591958
NoDur,returns,56,3-2-1-5-4,false,3,4096,8,1945601,0.010474301412556638,3.0676472348511616e-7,0.010483042137718397,0.454499875
NoDur,returns,57,3-2-4-1-5,false,3,4096,8,1945701,0.009226628809566848,1.7626429010479134e-6,0.0073997944501541625,0.303770958
NoDur,returns,58,3-2-4-5-1,false,3,4096,8,1945801,0.008589871156888728,1.3589784384459082e-7,0.006166495375128468,0.298356375
NoDur,returns,59,3-2-5-1-4,false,3,4096,8,1945901,0.010351607174387115,2.1916297022781548e-7,0.008016443987667009,0.284470042
NoDur,returns,60,3-2-5-4-1,false,3,4096,8,1946001,0.009575604503530287,4.619180112107012e-7,0.007194244604316547,0.306822542
NoDur,returns,61,3-4-1-2-5,true,4,4096,8,1946101,0.008058766823331705,1.4856828296903527e-6,0.007605344295991778,0.428313834
NoDur,returns,62,3-4-1-5-2,true,4,4096,8,1946201,0.007312202554385436,4.879801152561791e-7,0.007810894141829393,0.41770025
