industry,transform,old_diagonal_se,corrected_diagonal_se,corrected_over_old,radial_derivative
NoDur,returns,2.8148254793331997e-5,1.0342775151820164e-6,0.036743930406194315,1.8984380040221183e-16
NoDur,absolute,1.6080911173049465e-5,1.346405750599558e-7,0.008372695652072529,-1.0066817171527909e-16
Durbl,returns,2.3303862618414284e-5,1.7021419209564963e-7,0.007304119273392451,2.809947099221416e-17
Durbl,absolute,2.0516347639388232e-5,2.960785370662312e-7,0.014431347249049627,2.142247967559796e-16
Manuf,returns,2.3789732230107106e-5,6.348434777239006e-7,0.02668560837857915,2.7592945289756088e-17
Manuf,absolute,1.721476945279447e-5,1.4874757304022e-7,0.008640695040854806,-1.5264984253444665e-16
Enrgy,returns,2.232756846667908e-5,7.044693715804777e-7,0.03155154904717029,1.0317538923915182e-16
Enrgy,absolute,1.8663016107125823e-5,2.6284309420563127e-7,0.014083634322389819,-1.393741892730116e-16
HiTec,returns,2.083526801297315e-5,3.6054330079403635e-7,0.01730447146489994,-6.391371806802049e-17
HiTec,absolute,1.7803643341660352e-5,2.970963678102014e-7,0.01668739156973555,3.3962633053108426e-17
Telcm,returns,2.277634739251751e-5,4.1756510829646025e-7,0.018333277987919994,-9.540979117872439e-17
Telcm,absolute,2.0509279850401217e-5,1.632850914428613e-7,0.007961522424672898,1.0205476464993438e-16
Shops,returns,2.4871533853251264e-5,6.54414065063797e-7,0.026311769468059985,-2.0838365755171395e-16
Shops,absolute,2.1256962687300073e-5,1.9342642194068426e-7,0.009099438371609245,-2.6386770372865964e-17
Hlth,returns,2.5612653642670878e-5,4.116268731437743e-7,0.016071230997244296,-2.846030702774449e-17
Hlth,absolute,1.7208107479306087e-5,2.287633684720422e-7,0.013293929547287267,-7.800834631033204e-17
Utils,returns,2.860846559409716e-5,1.0939169406862683e-6,0.03823752578020047,4.526544070126981e-18
Utils,absolute,1.7621480324324497e-5,2.0204538728540622e-7,0.011465857780773674,1.0318894176630788e-16
Other,returns,3.049407356844935e-5,1.5139719902086692e-6,0.04964807298737215,1.369347343849192e-16
Other,absolute,1.9174287699063245e-5,2.358471434256164e-7,0.0123001775673335,1.3790543414247264e-17
