industry,transform,observations,lag_vectors,empirical_tie_free_windows,tied_windows,tied_fraction,model_mass,mass_error,mass_numerical_se,minimum_probability,maximum_probability,permutation_entropy_model,permutation_entropy_numerical_se,permutation_entropy_empirical,entropy_difference,l1_distance,total_variation,jensen_shannon,fitting_time_s,probability_time_s
NoDur,returns,5032,5028,4865,163,0.03241845664280032,0.9999922550416459,-7.7449583540945e-6,3.587088555945363e-5,0.006034517722850832,0.010966776203635883,0.9979857646356752,1.0342775151820164e-6,0.9978437594732612,0.00014200516241402728,0.15294957982232135,0.07647478991116068,0.004459329828602043,14.229483834,53.11429092299999
NoDur,absolute,5032,5028,4690,338,0.06722354813046937,0.9999863998948268,-1.3600105173150467e-5,2.0303862450765178e-5,0.007618751796468863,0.008893651640063414,0.9999080967299628,1.346405750599558e-7,0.9973164188382869,0.0025916778916759142,0.12516854348957254,0.06258427174478627,0.0033677502421123884,3.547598958,103.89172942199998
Durbl,returns,5032,5028,4892,136,0.027048528241845664,1.0000330367238932,3.303672389320944e-5,2.9422961552855307e-5,0.00784672258503069,0.008971026974805056,0.9998992379215756,1.7021419209564963e-7,0.9967935554246344,0.003105682496941209,0.13887565938504634,0.06943782969252317,0.003940159397307973,2.231628542,43.58872112600001
Durbl,absolute,5032,5028,4798,230,0.045743834526650755,1.000010381730632,1.0381730632058606e-5,2.6115692517346683e-5,0.007695463308034783,0.009148395703371934,0.9998838256122349,2.960785370662312e-7,0.997728152674193,0.0021556729380418638,0.1176061737075421,0.05880308685377105,0.0027321247113371193,2.479608375,74.697354
Manuf,returns,5032,5028,4892,136,0.027048528241845664,1.0000554869699168,5.5486969916751505e-5,3.008579061765222e-5,0.006009129342775586,0.010526744067688236,0.9980216504431739,6.348434777239006e-7,0.9964933694111703,0.0015282810320036422,0.17933970108548647,0.08966985054274323,0.00622436881716508,2.304767459,48.170312756
Manuf,absolute,5032,5028,4763,265,0.052704852824184564,1.0000417487929192,4.1748792919182875e-5,2.177290779677214e-5,0.007837640089517527,0.008932915100992311,0.9999330688503422,1.4874757304022e-7,0.9977087527396153,0.0022243161107268206,0.11558199621118859,0.05779099810559429,0.0027070527216727387,2.075130708,95.59086436700002
Enrgy,returns,5032,5028,4932,96,0.01909307875894988,1.0000009030896975,9.030896974682179e-7,2.825991091966131e-5,0.006635354670327992,0.010803747813738399,0.9980399130602426,7.044693715804777e-7,0.9964016139457312,0.00163829911451141,0.1807720347883817,0.09038601739419085,0.0063758312805924575,2.324221125,47.56014991200001
Enrgy,absolute,5032,5028,4867,161,0.03202068416865553,1.0000678325586512,6.783255865117077e-5,2.3586831922479575e-5,0.007589847045756318,0.00917673856414263,0.9997514450458556,2.6284309420563127e-7,0.9962358287506929,0.0035156162951626158,0.14786972269211143,0.07393486134605572,0.004271100924707496,2.269216375,68.33392449099998
HiTec,returns,5032,5028,4907,121,0.024065234685759745,0.9999838382632426,-1.6161736757447365e-5,2.632353437210229e-5,0.007137933758875828,0.010170238420502463,0.9992847248590704,3.6054330079403635e-7,0.9949152293193977,0.0043694955396726964,0.1859677439450582,0.0929838719725291,0.0066760657882915814,2.476673709,48.192945255999994
HiTec,absolute,5032,5028,4808,220,0.04375497215592681,0.9999892756873194,-1.0724312680565617e-5,2.2382900733944764e-5,0.0072996127437939574,0.00930338264086758,0.9996229382089353,2.970963678102014e-7,0.9963105314195437,0.0033124067893915976,0.1328443869062582,0.0664221934531291,0.0037370559424574163,2.460216958,39.23427929000001
Telcm,returns,5032,5028,4877,151,0.030031821797931582,1.0000153221678822,1.532216788224794e-5,2.841186569517878e-5,0.007184983206279865,0.010029022221922833,0.999380165334748,4.1756510829646025e-7,0.9970008537944853,0.0023793115402627185,0.1440297558032674,0.0720148779016337,0.00392226218165736,2.397782209,46.372746869
Telcm,absolute,5032,5028,4729,299,0.05946698488464598,1.000033600302829,3.36003028289511e-5,2.5841595124571373e-5,0.00786824732564183,0.00880239842276331,0.9999257989363883,1.632850914428613e-7,0.997400556590617,0.002525242345771339,0.12124612857061814,0.06062306428530907,0.003131672295317,2.401680417,50.03257699899998
Shops,returns,5032,5028,4847,181,0.03599840891010342,1.0000473064093602,4.730640936023711e-5,3.142573576694863e-5,0.006299619673361557,0.010273771477833576,0.9982266881297954,6.54414065063797e-7,0.996778260051205,0.001448428078590469,0.17144895049195946,0.08572447524597973,0.00571891895918283,2.341615083,53.95833174900003
Shops,absolute,5032,5028,4698,330,0.06563245823389022,0.9999948809174888,-5.119082511217954e-6,2.6918525345954864e-5,0.00789584065171976,0.0089732090142913,0.999939681755912,1.9342642194068426e-7,0.9968612217090583,0.003078460046853637,0.13972182542262288,0.06986091271131144,0.003658709599255947,2.795886875,96.12274929599995
Hlth,returns,5032,5028,4908,120,0.02386634844868735,1.0000139676509705,1.3967650970503342e-5,3.205727300098887e-5,0.007119450583873026,0.010526368600117622,0.999282344519895,4.116268731437743e-7,0.9965959301061477,0.0026864144137472845,0.14578916709531217,0.07289458354765609,0.004409108756864541,2.258698417,45.560503749000006
Hlth,absolute,5032,5028,4758,270,0.05369928400954654,0.9999956949276182,-4.305072381804997e-6,2.189220858661709e-5,0.007437163735002745,0.009199552436939384,0.9996747541679324,2.287633684720422e-7,0.9971691606980019,0.0025055934699305116,0.12691830689167996,0.06345915344583998,0.0030850479051367135,3.664375625,104.69980908800005
Utils,returns,5032,5028,4867,161,0.03202068416865553,1.0000254403477922,2.5440347792171636e-5,3.575932774686344e-5,0.006446244871413159,0.010576889852762296,0.9983475216330674,1.0939169406862683e-6,0.9973251636426369,0.0010223579904304891,0.15212407063075176,0.07606203531537588,0.004513197174463737,2.714048667,54.626535667000006
