case_id,design,model,point,d,conditioning_dimension,N,method,n,reference,reference_uncertainty,reference_target_met,reference_split_half_z,reference_split_stable,reference_uncertainty_to_rmse,reference_resolved,median_abs_error,mean_abs_error,rmse,rmse_ci_low,rmse_ci_high,p90_abs_error,max_abs_error,median_runtime_s,runtime_ci_low_s,runtime_ci_high_s,median_bytes,median_allocations,median_hfunc_calls,median_hinv_calls,median_pair_cdf_calls
gaussian_moderate_d4,gaussian_moderate,D,center,4,2,256,current_indicator,30,0.24193572837980243,4.837045149038699e-11,true,0.0,true,4.708253164718852e-9,true,0.008064271620197572,0.008774312657372848,0.010273545155313537,0.008041784887010853,0.01230011318712544,0.01621704229615806,0.02318572837980243,0.001265146,0.0012594375,0.0012800205,1.170016e6,379.0,NaN,NaN,NaN
gaussian_moderate_d4,gaussian_moderate,D,center,4,2,256,reduced_conditional,30,0.24193572837980243,4.837045149038699e-11,true,0.0,true,5.619368261048248e-7,true,6.113731526392885e-5,6.931047923024828e-5,8.607809498031343e-5,6.748027080592433e-5,0.0001041358066365603,0.00012683100266687732,0.00020359460332994295,0.0009602705,0.0009495625,0.0009667915,561728.0,176.0,1792.0,256.0,256.0
gaussian_moderate_d4,gaussian_moderate,D,center,4,2,1024,current_indicator,30,0.24193572837980243,4.837045149038699e-11,true,0.0,true,1.2159160153659433e-8,true,0.0029296875,0.0034200036820526856,0.003978107935014687,0.003274361962302512,0.004617951467090554,0.006111146620197572,0.007087709120197572,0.004636729500000001,0.0045284165,0.004772874999999999,4.336768e6,405.0,NaN,NaN,NaN
gaussian_moderate_d4,gaussian_moderate,D,center,4,2,1024,reduced_conditional,30,0.24193572837980243,4.837045149038699e-11,true,0.0,true,3.1864717227757797e-6,true,1.1232025677487822e-5,1.1693981704098226e-5,1.5179940604729679e-5,1.0867675028928385e-5,1.9842196690990356e-5,2.4121596317450146e-5,4.5961398413590926e-5,0.0035835835,0.003566542,0.003665937,2.077536e6,190.0,7168.0,1024.0,1024.0
gaussian_moderate_d4,gaussian_moderate,D,center,4,2,4096,current_indicator,30,0.24193572837980243,4.837045149038699e-11,true,0.0,true,2.4702838114160034e-8,true,0.00146484375,0.001580302240706181,0.001958092882560742,0.0015403362708604163,0.0023285132279515924,0.003204346983658058,0.003913880995197572,0.018978625,0.0187637915,0.019233003837500002,1.7133184e7,429.0,NaN,NaN,NaN
gaussian_moderate_d4,gaussian_moderate,D,center,4,2,4096,reduced_conditional,30,0.24193572837980243,4.837045149038699e-11,true,0.0,true,1.9337104602220438e-5,true,1.6400767226393276e-6,1.8248628558481529e-6,2.50143196126853e-6,1.6590962098575584e-6,3.41452641371254e-6,3.3106299265228692e-6,8.247039420594682e-6,0.014742103999999999,0.014619792,0.014860375,8.205408e6,202.0,28672.0,4096.0,4096.0
gaussian_moderate_d4,gaussian_moderate,D,center,4,2,16384,current_indicator,30,0.24193572837980243,4.837045149038699e-11,true,0.0,true,7.63000390716737e-8,true,0.000457763671875,0.0005132040455131714,0.0006339505468004991,0.0004895712941089246,0.0007589627121411283,0.0011169446399080575,0.0012283341201975717,0.080720104,0.07941481249999999,0.0933080415,6.9628032e7,453.0,NaN,NaN,NaN
gaussian_moderate_d4,gaussian_moderate,D,center,4,2,16384,reduced_conditional,30,0.24193572837980243,4.837045149038699e-11,true,0.0,true,0.00011050680247431382,true,2.545306540951975e-7,3.399689247979287e-7,4.3771469635663566e-7,3.04904251165716e-7,5.756440733844076e-7,6.254434602143144e-7,1.3456756436658335e-6,0.0610009165,0.0605694585,0.061335226887500004,3.3371488e7,214.0,114688.0,16384.0,16384.0
gaussian_moderate_d4,gaussian_moderate,D,center,4,2,65536,current_indicator,30,0.24193572837980243,4.837045149038699e-11,true,0.0,true,2.0367071127266132e-7,true,0.00012969970703125,0.000179036138200069,0.00023749340878783363,0.0001613739578721491,0.00031983704686085304,0.00040588506959555743,0.0007400528701975717,0.5530332705000001,0.5333733126875,0.5580173745,2.8432448e8,477.0,NaN,NaN,NaN
gaussian_moderate_d4,gaussian_moderate,D,center,4,2,65536,reduced_conditional,30,0.24193572837980243,4.837045149038699e-11,true,0.0,true,0.0004919944683185745,true,6.386433895610999e-8,7.851893270664304e-8,9.831503117442842e-8,7.073374206219487e-8,1.2868230073472905e-7,1.3678427735752677e-7,2.828493541606747e-7,0.279106812,0.274836729,0.308386375,1.36394336e8,226.0,458752.0,65536.0,65536.0
