event,d,N,rep,seed,method,estimate,runtime_s,bytes,allocations,hfunc_calls,hinv_calls,pair_cdf_calls
joint_lower_10pct,10,256,1,20340906,current_indicator,0.0078125,0.909927542,94726976,1764469,NaN,NaN,NaN
joint_lower_10pct,10,256,1,20340906,reduced_conditional,0.004377863952713575,0.862298125,67515456,1564229,22528,7168,256
joint_lower_10pct,10,256,2,20340907,current_indicator,0.0078125,0.00426425,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,2,20340907,reduced_conditional,0.0045992676330252735,0.008858667,2245408,650,22528,7168,256
joint_lower_10pct,10,256,3,20340908,current_indicator,0.0078125,0.004039125,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,3,20340908,reduced_conditional,0.0043904873306566785,0.008930042,2245408,650,22528,7168,256
joint_lower_10pct,10,256,4,20340909,current_indicator,0.00390625,0.004062125,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,4,20340909,reduced_conditional,0.004366406116311354,0.008862375,2245408,650,22528,7168,256
joint_lower_10pct,10,256,5,20340910,current_indicator,0.0,0.004012167,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,5,20340910,reduced_conditional,0.004392997289603782,0.00892275,2245408,650,22528,7168,256
joint_lower_10pct,10,256,6,20340911,current_indicator,0.00390625,0.004113041,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,6,20340911,reduced_conditional,0.004446050410308679,0.009078667,2245408,650,22528,7168,256
joint_lower_10pct,10,256,7,20340912,current_indicator,0.01171875,0.004297167,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,7,20340912,reduced_conditional,0.0043984520135198595,0.009013542,2245408,650,22528,7168,256
joint_lower_10pct,10,256,8,20340913,current_indicator,0.0078125,0.004219083,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,8,20340913,reduced_conditional,0.004318675402034532,0.009062459,2245408,650,22528,7168,256
joint_lower_10pct,10,256,9,20340914,current_indicator,0.0,0.00425525,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,9,20340914,reduced_conditional,0.004372936113614435,0.009101,2245408,650,22528,7168,256
joint_lower_10pct,10,256,10,20340915,current_indicator,0.0078125,0.01647675,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,10,20340915,reduced_conditional,0.004395653580441335,0.008898125,2245408,650,22528,7168,256
joint_lower_10pct,10,256,11,20340916,current_indicator,0.00390625,0.004143083,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,11,20340916,reduced_conditional,0.004383687406140035,0.008851083,2245408,650,22528,7168,256
joint_lower_10pct,10,256,12,20340917,current_indicator,0.0,0.003996458,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,12,20340917,reduced_conditional,0.004465164456037913,0.008877291,2245408,650,22528,7168,256
joint_lower_10pct,10,256,13,20340918,current_indicator,0.00390625,0.003967792,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,13,20340918,reduced_conditional,0.004348961963020687,0.008921209,2245408,650,22528,7168,256
joint_lower_10pct,10,256,14,20340919,current_indicator,0.0078125,0.004119875,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,14,20340919,reduced_conditional,0.004339819296977914,0.008830625,2245408,650,22528,7168,256
joint_lower_10pct,10,256,15,20340920,current_indicator,0.00390625,0.003979292,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,15,20340920,reduced_conditional,0.0043906542550694585,0.008832417,2245408,650,22528,7168,256
joint_lower_10pct,10,256,16,20340921,current_indicator,0.0078125,0.003972416,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,16,20340921,reduced_conditional,0.004404125308983866,0.008846167,2245408,650,22528,7168,256
joint_lower_10pct,10,256,17,20340922,current_indicator,0.0,0.003929041,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,17,20340922,reduced_conditional,0.0044551349438569235,0.008870459,2245408,650,22528,7168,256
joint_lower_10pct,10,256,18,20340923,current_indicator,0.0078125,0.003956084,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,18,20340923,reduced_conditional,0.004283654344867704,0.008828042,2245408,650,22528,7168,256
joint_lower_10pct,10,256,19,20340924,current_indicator,0.00390625,0.009420125,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,19,20340924,reduced_conditional,0.004522496272540071,0.00886925,2245408,650,22528,7168,256
joint_lower_10pct,10,256,20,20340925,current_indicator,0.0,0.004004959,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,20,20340925,reduced_conditional,0.00449484761781539,0.008826375,2245408,650,22528,7168,256
joint_lower_10pct,10,256,21,20340926,current_indicator,0.01171875,0.003968625,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,21,20340926,reduced_conditional,0.004479160423688062,0.0088565,2245408,650,22528,7168,256
joint_lower_10pct,10,256,22,20340927,current_indicator,0.01171875,0.003960417,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,22,20340927,reduced_conditional,0.0044204117638975944,0.008810542,2245408,650,22528,7168,256
joint_lower_10pct,10,256,23,20340928,current_indicator,0.00390625,0.00396825,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,23,20340928,reduced_conditional,0.004433447100273939,0.008814584,2245408,650,22528,7168,256
joint_lower_10pct,10,256,24,20340929,current_indicator,0.0,0.003958708,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,24,20340929,reduced_conditional,0.004347902373069076,0.00881975,2245408,650,22528,7168,256
joint_lower_10pct,10,256,25,20340930,current_indicator,0.00390625,0.00393075,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,25,20340930,reduced_conditional,0.004320277304571141,0.008825792,2245408,650,22528,7168,256
joint_lower_10pct,10,256,26,20340931,current_indicator,0.00390625,0.003965875,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,26,20340931,reduced_conditional,0.004376787336486886,0.008826958,2245408,650,22528,7168,256
joint_lower_10pct,10,256,27,20340932,current_indicator,0.0,0.005571292,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,27,20340932,reduced_conditional,0.004455041197049836,0.008910709,2245408,650,22528,7168,256
joint_lower_10pct,10,256,28,20340933,current_indicator,0.00390625,0.003945459,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,28,20340933,reduced_conditional,0.004375109436831239,0.008847583,2245408,650,22528,7168,256
joint_lower_10pct,10,256,29,20340934,current_indicator,0.0,0.003956791,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,29,20340934,reduced_conditional,0.0043739581810691664,0.008820583,2245408,650,22528,7168,256
joint_lower_10pct,10,256,30,20340935,current_indicator,0.01171875,0.003980208,3237088,4238,NaN,NaN,NaN
joint_lower_10pct,10,256,30,20340935,reduced_conditional,0.004456692363390516,0.008861542,2245408,650,22528,7168,256
joint_lower_10pct,10,1024,1,20360906,current_indicator,0.005859375,0.016302167,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,1,20360906,reduced_conditional,0.004395258338883847,0.035235833,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,2,20360907,current_indicator,0.0029296875,0.015019959,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,2,20360907,reduced_conditional,0.004403114069200991,0.036162,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,3,20360908,current_indicator,0.00390625,0.01507875,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,3,20360908,reduced_conditional,0.004435238312612853,0.036024708,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,4,20360909,current_indicator,0.005859375,0.015092041,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,4,20360909,reduced_conditional,0.0043900076028144325,0.0360135,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,5,20360910,current_indicator,0.00390625,0.015014875,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,5,20360910,reduced_conditional,0.004404914886059124,0.035976917,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,6,20360911,current_indicator,0.00390625,0.015065333,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,6,20360911,reduced_conditional,0.0044176344156023235,0.035972292,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,7,20360912,current_indicator,0.00390625,0.014990959,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,7,20360912,reduced_conditional,0.00441908012684037,0.035903167,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,8,20360913,current_indicator,0.0048828125,0.014953458,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,8,20360913,reduced_conditional,0.004416718485090782,0.03592775,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,9,20360914,current_indicator,0.00390625,0.015082541,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,9,20360914,reduced_conditional,0.004403438545677519,0.036008292,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,10,20360915,current_indicator,0.0029296875,0.014856875,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,10,20360915,reduced_conditional,0.0044109007341627884,0.03589275,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,11,20360916,current_indicator,0.0068359375,0.014938125,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,11,20360916,reduced_conditional,0.004366487047183452,0.035768,8308544,700,90112,28672,1024
