event,N,method,n,mean_estimate,sd_estimate,rqmc_se,median_runtime_s,median_allocated_bytes,median_allocations,median_hfunc_calls,median_hinv_calls,median_pair_cdf_calls
central_25_75_rectangle,256,current_indicator,30,0.02421875,0.010531648091831231,0.0019228070758674015,0.003967813,3.237088e6,4238.0,NaN,NaN,NaN
central_25_75_rectangle,256,reduced_conditional,30,0.022419176302388693,3.245284205090571e-5,5.925051215477758e-6,0.011162646,2.245408e6,650.0,33792.0,7168.0,1024.0
central_25_75_rectangle,1024,current_indicator,30,0.022591145833333333,0.004937951957390328,0.0009015425583131572,0.015625542,1.1489792e7,4300.0,NaN,NaN,NaN
central_25_75_rectangle,1024,reduced_conditional,30,0.022413098372021014,6.6904873902678826e-6,1.221510288117863e-6,0.0450774795,8.308544e6,700.0,135168.0,28672.0,4096.0
central_25_75_rectangle,4096,current_indicator,30,0.022184244791666665,0.0017307740239621246,0.0003159946582893475,0.061904166499999996,4.4857088e7,4360.0,NaN,NaN,NaN
central_25_75_rectangle,4096,reduced_conditional,30,0.022415114698181304,1.5185022889341994e-6,2.7723931909082944e-7,0.1804681875,3.2820032e7,748.0,540672.0,114688.0,16384.0
joint_lower_10pct,256,current_indicator,30,0.0049479166666666664,0.003964189557850975,0.00072375868102047,0.0040007085,3.237088e6,4238.0,NaN,NaN,NaN
joint_lower_10pct,256,reduced_conditional,30,0.004406204106262231,6.596021717076546e-5,1.2042632947455943e-5,0.0088601045,2.245408e6,650.0,22528.0,7168.0,256.0
joint_lower_10pct,1024,current_indicator,30,0.004361979166666667,0.0014895177096508473,0.00027194748312639987,0.015689875,1.1489792e7,4300.0,NaN,NaN,NaN
joint_lower_10pct,1024,reduced_conditional,30,0.0044031725880416175,1.3555158390029892e-5,2.4748220069249274e-6,0.0354174165,8.308544e6,700.0,90112.0,28672.0,1024.0
joint_lower_10pct,4096,current_indicator,30,0.004313151041666667,0.0007375486576713942,0.00013465734568809276,0.061715916999999995,4.4857088e7,4360.0,NaN,NaN,NaN
joint_lower_10pct,4096,reduced_conditional,30,0.004407213665338929,4.235279524721343e-6,7.732527110098795e-7,0.143227875,3.2820032e7,748.0,360448.0,114688.0,4096.0
