"case_id","d","event","dependence","method","N_or_maxpts","replicate","seed","estimate","reference","abs_error","runtime_s","internal_error","status","algorithm"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,1,829828,0.241896619854235,0.241935728379802,3.91085255672385e-05,0.001,8.68493708474248e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,2,829829,0.241897506623326,0.241935728379802,3.82217564764142e-05,0.001,7.03797344769303e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,3,829830,0.241973952294804,0.241935728379802,3.82239150014674e-05,0.001,0.000114501178354634,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,4,829831,0.24197049312373,0.241935728379802,3.47647439275789e-05,0.001,7.00325060208527e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,5,829832,0.241934062624184,0.241935728379802,1.66575561832971e-06,0.001,5.77343708589642e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,6,829833,0.241944158885103,0.241935728379802,8.43050530088818e-06,0.001,9.42620792287002e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,7,829834,0.241935876987614,0.241935728379802,1.48607811639723e-07,0.001,0.0001232070398278,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,8,829835,0.241950833412667,0.241935728379802,1.51050328648095e-05,0.001,0.000113280634628862,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,9,829836,0.241885307154733,0.241935728379802,5.04212250690417e-05,0.001,8.10516357615812e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,10,829837,0.241943376696509,0.241935728379802,7.64831670635457e-06,0.001,6.01611196581731e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,11,829838,0.241946522949656,0.241935728379802,1.07945698535339e-05,0.001,8.9586094894986e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,12,829839,0.241944562518221,0.241935728379802,8.83413841812342e-06,0.001,6.53030065675209e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,13,829840,0.241914615893652,0.241935728379802,2.11124861508871e-05,0.001,8.36766752556992e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,14,829841,0.241971226680211,0.241935728379802,3.54983004087484e-05,0.001,0.000128675954799281,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,15,829842,0.241856541081528,0.241935728379802,7.91872982739417e-05,0.001,8.17478274541487e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,16,829843,0.241910125870305,0.241935728379802,2.56025094972356e-05,0.001,6.222681829332e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
