case_id,d,event,dependence,method,N_or_maxpts,replicates,reference,rmse,median_abs_error,median_runtime_s,median_internal_error,tolerance,successful_statuses
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,30,0.24193572837980243,0.001958092882560742,0.00146484375,0.0215220625,NaN,NaN,0
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,30,0.24193572837980243,2.50143196126853e-6,1.6400767226393276e-6,0.014163499999999999,NaN,NaN,0
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,30,0.24193572837980243,8.96269301041162e-6,7.2731440161899474e-6,0.000392521,2.710118863111104e-5,1.0e-6,0
gaussian_strong_d4,4,CDF,strong,current_indicator,4096,30,0.5882516348368683,0.0014071898806005904,0.0006155526631317354,0.0210147085,NaN,NaN,0
gaussian_strong_d4,4,CDF,strong,reduced_conditional,4096,30,0.5882516348368683,5.627109521609799e-6,4.1938161903232185e-6,0.014965395999999999,NaN,NaN,0
gaussian_strong_d4,4,CDF,strong,additionaldistributions,4096,30,0.5882516348368683,3.7644901908694546e-5,2.3494534442558557e-5,0.000566104,0.00010824040516527609,1.0e-6,0
gaussian_rectangle_d5,5,interior,moderate,current_indicator,4096,30,0.12616033132518825,0.001631527612205992,0.0012810749248117481,0.0283027915,NaN,NaN,0
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,30,0.12616033132518825,5.898836707637236e-7,3.943145692186789e-7,0.031306042000000006,NaN,NaN,0
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,30,0.12616033132518825,6.660423722417743e-7,3.4799277991159894e-7,0.000726958,1.6493987951478947e-6,1.0e-6,1
gaussian_strong_d5,5,CDF,strong,current_indicator,4096,30,0.5746657749936169,0.0014760626137679822,0.001179446868616929,0.028478041500000002,NaN,NaN,0
gaussian_strong_d5,5,CDF,strong,reduced_conditional,4096,30,0.5746657749936169,3.364101633526448e-5,2.6864951519156577e-5,0.025470187499999998,NaN,NaN,0
gaussian_strong_d5,5,CDF,strong,additionaldistributions,4096,30,0.5746657749936169,0.00022464900167117272,0.0001590286086322057,0.0008233335,0.0007170143950364866,1.0e-6,0
