d,rho,point,logpdf_dvine,logpdf_direct,abs_difference
5,0.3,1,0.39260627482855087,0.3926062748285508,5.551115123125783e-17
5,0.3,2,0.11223686721601,0.11223686721600945,5.551115123125783e-16
5,0.3,3,-0.25880486195338226,-0.2588048619533829,6.661338147750939e-16
5,0.3,4,-0.23357132912899534,-0.2335713291289947,6.38378239159465e-16
5,0.3,5,0.22091273589734106,0.2209127358973415,4.440892098500626e-16
5,0.3,6,0.2642708086599711,0.26427080865997166,5.551115123125783e-16
5,0.3,7,-0.533803378702412,-0.5338033787024106,1.4432899320127035e-15
5,0.3,8,-0.7630379351213439,-0.763037935121341,2.886579864025407e-15
5,0.3,9,-0.21266332832471999,-0.21266332832472123,1.2490009027033011e-15
5,0.3,10,0.27796749945423616,0.2779674994542365,3.3306690738754696e-16
5,0.8,1,-1.8487053229245718,-1.8487053229245571,1.4654943925052066e-14
5,0.8,2,-2.8425251919577814,-2.842525191957784,2.6645352591003757e-15
5,0.8,3,2.099864364054173,2.09986436405417,3.1086244689504383e-15
5,0.8,4,-0.7808056052390089,-0.7808056052390073,1.5543122344752192e-15
5,0.8,5,1.0411697030227864,1.0411697030227893,2.886579864025407e-15
5,0.8,6,-1.2811976256864497,-1.2811976256864392,1.0436096431476471e-14
5,0.8,7,-6.441308506018062,-6.441308506017612,4.503064587879635e-13
5,0.8,8,-10.928190479019214,-10.928190479019078,1.3677947663381929e-13
5,0.8,9,-8.126435815974176,-8.126435815972728,1.4477308241112041e-12
5,0.8,10,-0.04537520211830606,-0.045375202118300706,5.35682609381638e-15
10,0.3,1,-0.28024265112451086,-0.2802426511245084,2.4424906541753444e-15
10,0.3,2,-0.7753392569976302,-0.7753392569976292,9.992007221626409e-16
10,0.3,3,-0.6051249733234386,-0.6051249733234343,4.3298697960381105e-15
10,0.3,4,-0.10637916903563235,-0.10637916903563038,1.970645868709653e-15
10,0.3,5,-0.5450086524399393,-0.5450086524399413,1.9984014443252818e-15
10,0.3,6,-0.1625522167546975,-0.16255221675469755,5.551115123125783e-17
10,0.3,7,-1.0126686190613037,-1.012668619061305,1.3322676295501878e-15
10,0.3,8,-0.3441409048165403,-0.34414090481654114,8.326672684688674e-16
10,0.3,9,-0.5767211455422023,-0.5767211455422014,8.881784197001252e-16
10,0.3,10,0.41277027898989116,0.4127702789898908,3.3306690738754696e-16
10,0.8,1,-8.855298473304094,-8.855298473304275,1.8118839761882555e-13
10,0.8,2,-7.405678616312576,-7.405678616312443,1.3322676295501878e-13
10,0.8,3,-13.684188587932091,-13.684188587933217,1.1262102361797588e-12
10,0.8,4,-12.1814209305543,-12.181420930554381,8.171241461241152e-14
10,0.8,5,-2.038837513480394,-2.0388375134803916,2.6645352591003757e-15
10,0.8,6,-22.56558433199098,-22.565584332004246,1.326583287664107e-11
10,0.8,7,-9.939455425624507,-9.939455425624406,1.0125233984581428e-13
10,0.8,8,-10.247944798450854,-10.247944798450888,3.375077994860476e-14
10,0.8,9,-5.667847857741412,-5.667847857741759,3.4638958368304884e-13
10,0.8,10,-13.508331948544566,-13.508331948545363,7.975842208907125e-13
