case_id,d,conditioning_dimension,rho,event,rule,N,rep,seed,method,estimate,reference,abs_error,generation_time_s,evaluation_time_s,total_runtime_s,generation_bytes,evaluation_bytes,generation_allocations,evaluation_allocations,hfunc_calls,hinv_calls,pair_cdf_calls
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,1,20840752,current_indicator,0.5625,0.5547860119171046,0.007713988082895362,0.119208667,0.024986292,0.144194959,14828224,2591008,184458,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,1,20840752,reduced_conditional,0.5543004378272919,0.5547860119171046,0.00048557408981275696,0.005418375,0.2573355,0.26275387499999997,5657968,17899936,1620,362849,126720,39168,256
equicorr_interior_rho0_3_d20,20,18,0.3,interior,sobol_owen,256,1,20840752,current_indicator,0.46875,0.45975543587489426,0.008994564125105742,0.005432875,0.0246135,0.030046375,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_interior_rho0_3_d20,20,18,0.3,interior,sobol_owen,256,1,20840752,reduced_conditional,0.4602014055027764,0.45975543587489426,0.0004459696278821257,0.167697459,0.03683825,0.204535709,5657968,112,1620,2,175104,39168,1024
equicorr_cdf_rho0_8_d20,20,18,0.8,cdf,sobol_owen,256,1,21340752,current_indicator,0.8125,0.809503011492795,0.0029969885072049784,0.004837167,0.025584584,0.030421751,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_8_d20,20,18,0.8,cdf,sobol_owen,256,1,21340752,reduced_conditional,0.80830738975176,0.809503011492795,0.0011956217410350467,0.005002291,0.026253875,0.031256166,5657968,112,1620,2,126720,39168,256
equicorr_interior_rho0_8_d20,20,18,0.8,interior,sobol_owen,256,1,21340752,current_indicator,0.78515625,0.7759598758853421,0.009196374114657901,0.005138834,0.024718625,0.029857459000000003,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_interior_rho0_8_d20,20,18,0.8,interior,sobol_owen,256,1,21340752,reduced_conditional,0.7744039506257875,0.7759598758853421,0.0015559252595546136,0.005276542,0.038019917,0.043296459,5657968,112,1620,2,175104,39168,1024
equicorr_cdf_rho0_3_d50,50,48,0.3,cdf,sobol_owen,256,1,50840752,current_indicator,0.62109375,0.6084183319983416,0.01267541800165839,0.080091334,0.440150375,0.520241709,19378352,214995728,109340,41671,NaN,NaN,NaN
equicorr_cdf_rho0_3_d50,50,48,0.3,cdf,sobol_owen,256,1,50840752,reduced_conditional,0.609019283513127,0.6084183319983416,0.0006009515147853417,0.01349075,0.222741916,0.236232666,14089744,112,3990,2,890880,288768,256
