case_id,d,rho,event,rule,N,method,reps,projected_seconds,threshold_seconds,reason
equicorr_cdf_rho0_3_d300,300,0.3,cdf,sobol_owen,256,current_indicator,1,NaN,30.0,stress-test full-dimensional indicator skipped after interrupted d=300 N=256 pilot exceeded two minutes inside full inverse Rosenblatt
equicorr_interior_rho0_3_d300,300,0.3,interior,sobol_owen,256,current_indicator,1,NaN,30.0,stress-test full-dimensional indicator skipped after interrupted d=300 N=256 pilot exceeded two minutes inside full inverse Rosenblatt
equicorr_cdf_rho0_3_d20,20,0.3,cdf,sobol_owen,65536,current_indicator,30,259.90193994000003,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d20,20,0.3,cdf,sobol_owen,65536,reduced_conditional,30,255.0603174,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d20,20,0.3,interior,sobol_owen,65536,current_indicator,30,261.64649502000003,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d20,20,0.3,interior,sobol_owen,65536,reduced_conditional,30,346.33478004,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d20,20,0.8,cdf,sobol_owen,65536,current_indicator,30,267.77829743999996,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d20,20,0.8,cdf,sobol_owen,65536,reduced_conditional,30,263.34425004,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d20,20,0.8,interior,sobol_owen,65536,current_indicator,30,268.10070492,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d20,20,0.8,interior,sobol_owen,65536,reduced_conditional,30,352.81640004,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d50,50,0.3,cdf,sobol_owen,4096,current_indicator,30,212.95239,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d50,50,0.3,cdf,sobol_owen,16384,current_indicator,30,851.80956,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d50,50,0.3,cdf,sobol_owen,16384,reduced_conditional,30,471.28170006,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d50,50,0.3,cdf,sobol_owen,65536,current_indicator,30,3407.23824,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d50,50,0.3,cdf,sobol_owen,65536,reduced_conditional,30,1885.12680024,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d50,50,0.3,interior,sobol_owen,4096,current_indicator,30,210.14821745999998,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d50,50,0.3,interior,sobol_owen,16384,current_indicator,30,840.5928698399999,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d50,50,0.3,interior,sobol_owen,16384,reduced_conditional,30,651.57018246,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d50,50,0.3,interior,sobol_owen,65536,current_indicator,30,3362.3714793599997,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d50,50,0.3,interior,sobol_owen,65536,reduced_conditional,30,2606.28072984,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d50,50,0.8,cdf,sobol_owen,4096,current_indicator,30,216.42897252,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d50,50,0.8,cdf,sobol_owen,16384,current_indicator,30,865.71589008,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d50,50,0.8,cdf,sobol_owen,16384,reduced_conditional,30,477.10350497999997,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d50,50,0.8,cdf,sobol_owen,65536,current_indicator,30,3462.86356032,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d50,50,0.8,cdf,sobol_owen,65536,reduced_conditional,30,1908.4140199199999,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d50,50,0.8,interior,sobol_owen,4096,current_indicator,30,213.02296008000002,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d50,50,0.8,interior,sobol_owen,16384,current_indicator,30,852.0918403200001,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d50,50,0.8,interior,sobol_owen,16384,reduced_conditional,30,658.99292748,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d50,50,0.8,interior,sobol_owen,65536,current_indicator,30,3408.3673612800003,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d50,50,0.8,interior,sobol_owen,65536,reduced_conditional,30,2635.97170992,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d100,100,0.3,cdf,sobol_owen,1024,current_indicator,30,463.18231002,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d100,100,0.3,cdf,sobol_owen,4096,current_indicator,30,1852.72924008,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d100,100,0.3,cdf,sobol_owen,4096,reduced_conditional,30,596.8869124800001,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d100,100,0.3,cdf,sobol_owen,16384,current_indicator,30,7410.91696032,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d100,100,0.3,cdf,sobol_owen,16384,reduced_conditional,30,2387.5476499200004,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d100,100,0.3,cdf,sobol_owen,65536,current_indicator,30,29643.66784128,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_3_d100,100,0.3,cdf,sobol_owen,65536,reduced_conditional,30,9550.190599680001,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d100,100,0.3,interior,sobol_owen,1024,current_indicator,30,463.61131746,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d100,100,0.3,interior,sobol_owen,1024,reduced_conditional,30,213.71793756,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d100,100,0.3,interior,sobol_owen,4096,current_indicator,30,1854.44526984,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d100,100,0.3,interior,sobol_owen,4096,reduced_conditional,30,854.87175024,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d100,100,0.3,interior,sobol_owen,16384,current_indicator,30,7417.78107936,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d100,100,0.3,interior,sobol_owen,16384,reduced_conditional,30,3419.48700096,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d100,100,0.3,interior,sobol_owen,65536,current_indicator,30,29671.12431744,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_3_d100,100,0.3,interior,sobol_owen,65536,reduced_conditional,30,13677.94800384,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d100,100,0.8,cdf,sobol_owen,1024,current_indicator,30,462.9459675,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d100,100,0.8,cdf,sobol_owen,4096,current_indicator,30,1851.78387,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d100,100,0.8,cdf,sobol_owen,4096,reduced_conditional,30,598.49425254,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d100,100,0.8,cdf,sobol_owen,16384,current_indicator,30,7407.13548,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d100,100,0.8,cdf,sobol_owen,16384,reduced_conditional,30,2393.97701016,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d100,100,0.8,cdf,sobol_owen,65536,current_indicator,30,29628.54192,180.0,projected primary cell runtime exceeds threshold
equicorr_cdf_rho0_8_d100,100,0.8,cdf,sobol_owen,65536,reduced_conditional,30,9575.90804064,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d100,100,0.8,interior,sobol_owen,1024,current_indicator,30,469.01490498,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d100,100,0.8,interior,sobol_owen,1024,reduced_conditional,30,213.79755252,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d100,100,0.8,interior,sobol_owen,4096,current_indicator,30,1876.05961992,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d100,100,0.8,interior,sobol_owen,4096,reduced_conditional,30,855.19021008,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d100,100,0.8,interior,sobol_owen,16384,current_indicator,30,7504.23847968,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d100,100,0.8,interior,sobol_owen,16384,reduced_conditional,30,3420.76084032,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d100,100,0.8,interior,sobol_owen,65536,current_indicator,30,30016.95391872,180.0,projected primary cell runtime exceeds threshold
equicorr_interior_rho0_8_d100,100,0.8,interior,sobol_owen,65536,reduced_conditional,30,13683.04336128,180.0,projected primary cell runtime exceeds threshold
