case_id,rule,N,method,n,d,rho,event,rmse,median_abs_error,median_total_runtime_s,runtime_per_point_s
equicorr_cdf_rho0_3_d100,sobol_owen,256,current_indicator,30,100,0.3,cdf,0.016044936093761855,0.009982473765077438,3.8598525835,0.015077549154296875
equicorr_cdf_rho0_3_d100,sobol_owen,256,reduced_conditional,30,100,0.3,cdf,0.003417587526425245,0.0020064431443782005,1.2438591665,0.004858824869140625
equicorr_cdf_rho0_3_d100,sobol_owen,1024,reduced_conditional,30,100,0.3,cdf,0.0014448974391433648,0.0009802608780829503,4.974057604,0.00485747812890625
equicorr_cdf_rho0_3_d20,sobol_owen,256,current_indicator,30,20,0.3,cdf,0.018414472087758753,0.011817261917104638,0.030421833500000002,0.00011883528710937501
equicorr_cdf_rho0_3_d20,sobol_owen,256,reduced_conditional,30,20,0.3,cdf,0.0007785224388656328,0.0004281413409649715,0.0305124375,0.000119189208984375
equicorr_cdf_rho0_3_d20,sobol_owen,1024,current_indicator,30,20,0.3,cdf,0.007809104825295795,0.005760863082895362,0.12620639649999998,0.00012324843408203123
equicorr_cdf_rho0_3_d20,sobol_owen,1024,reduced_conditional,30,20,0.3,cdf,0.000255869157425882,0.00011546530373635067,0.122169896,0.0001193065390625
equicorr_cdf_rho0_3_d20,sobol_owen,4096,current_indicator,30,20,0.3,cdf,0.004123996024883408,0.002539918167104638,0.508970083,0.00012426027416992188
equicorr_cdf_rho0_3_d20,sobol_owen,4096,reduced_conditional,30,20,0.3,cdf,7.940356536487803e-5,6.077145613159196e-5,0.48344679150000003,0.0001180290018310547
equicorr_cdf_rho0_3_d20,sobol_owen,16384,current_indicator,30,20,0.3,cdf,0.0017057074969499837,0.0010986328125,2.1658494995,0.0001321929626159668
equicorr_cdf_rho0_3_d20,sobol_owen,16384,reduced_conditional,30,20,0.3,cdf,3.0221121885271333e-5,1.9219326124475522e-5,2.125502645,0.00012973038604736329
equicorr_cdf_rho0_3_d50,sobol_owen,256,current_indicator,30,50,0.3,cdf,0.020198565365348198,0.015625,0.455755729,0.00178029581640625
equicorr_cdf_rho0_3_d50,sobol_owen,256,reduced_conditional,30,50,0.3,cdf,0.0028681110265482896,0.0011230673390278945,0.23706710450000001,0.0009260433769531251
equicorr_cdf_rho0_3_d50,sobol_owen,1024,current_indicator,30,50,0.3,cdf,0.00820908135628411,0.00634765625,1.77460325,0.001733010986328125
equicorr_cdf_rho0_3_d50,sobol_owen,1024,reduced_conditional,30,50,0.3,cdf,0.0009065492584596642,0.0006187751822555043,0.9466951045,0.0009245069379882813
equicorr_cdf_rho0_3_d50,sobol_owen,4096,reduced_conditional,30,50,0.3,cdf,0.0003550065759105234,0.00020014737889662015,3.9273475005,0.0009588250733642578
equicorr_cdf_rho0_8_d100,sobol_owen,256,current_indicator,30,100,0.8,cdf,0.011392290391839026,0.007558686413144611,3.8578830625,0.015069855712890625
equicorr_cdf_rho0_8_d100,sobol_owen,256,reduced_conditional,30,100,0.8,cdf,0.0035049893946976947,0.0021060639631425015,1.245127374,0.0048637788046875
equicorr_cdf_rho0_8_d100,sobol_owen,1024,reduced_conditional,30,100,0.8,cdf,0.0010479068299070326,0.0007198116631959017,4.9874521045,0.004870558695800781
equicorr_cdf_rho0_8_d20,sobol_owen,256,current_indicator,30,20,0.8,cdf,0.012521971416764489,0.0078125,0.030119062500000002,0.00011765258789062501
equicorr_cdf_rho0_8_d20,sobol_owen,256,reduced_conditional,30,20,0.8,cdf,0.0020998688189137905,0.0016995275012732791,0.031261687,0.00012211596484375
equicorr_cdf_rho0_8_d20,sobol_owen,1024,current_indicator,30,20,0.8,cdf,0.004254311941231033,0.00341796875,0.126318125,0.0001233575439453125
equicorr_cdf_rho0_8_d20,sobol_owen,1024,reduced_conditional,30,20,0.8,cdf,0.000565608297160684,0.00041964965739710314,0.124600125,0.0001216798095703125
equicorr_cdf_rho0_8_d20,sobol_owen,4096,current_indicator,30,20,0.8,cdf,0.0020476019071838597,0.0012754724302950216,0.51764425,0.00012637799072265626
equicorr_cdf_rho0_8_d20,sobol_owen,4096,reduced_conditional,30,20,0.8,cdf,0.00017431994151056657,0.00012607226165278762,0.501414249,0.00012241558813476562
equicorr_cdf_rho0_8_d20,sobol_owen,16384,current_indicator,30,20,0.8,cdf,0.0012007897796340115,0.001068115234375,2.231485812,0.00013619908520507812
equicorr_cdf_rho0_8_d20,sobol_owen,16384,reduced_conditional,30,20,0.8,cdf,5.559181663745677e-5,4.190398582115673e-5,2.194535417,0.0001339438120727539
equicorr_cdf_rho0_8_d50,sobol_owen,256,current_indicator,30,50,0.8,cdf,0.009873450962506322,0.005888095475124588,0.46323439600000005,0.0018095093593750002
equicorr_cdf_rho0_8_d50,sobol_owen,256,reduced_conditional,30,50,0.8,cdf,0.003028229437026039,0.0023792359274283914,0.2374108125,0.000927385986328125
equicorr_cdf_rho0_8_d50,sobol_owen,1024,current_indicator,30,50,0.8,cdf,0.005913133501630731,0.0029009670248754116,1.803574771,0.0017613034873046876
equicorr_cdf_rho0_8_d50,sobol_owen,1024,reduced_conditional,30,50,0.8,cdf,0.001149759724277033,0.0009575013624539275,0.9501727499999999,0.0009279030761718749
equicorr_cdf_rho0_8_d50,sobol_owen,4096,reduced_conditional,30,50,0.8,cdf,0.00042099710450565206,0.0003133480661994814,3.9758625414999997,0.0009706695657958984
equicorr_interior_rho0_3_d100,sobol_owen,256,current_indicator,30,100,0.3,interior,0.02288278403737088,0.010548441571284095,3.8634276455,0.015091514240234374
equicorr_interior_rho0_3_d100,sobol_owen,256,reduced_conditional,30,100,0.3,interior,0.006452499121091807,0.0045739323009849064,1.780982813,0.00695696411328125
equicorr_interior_rho0_3_d20,sobol_owen,256,current_indicator,30,20,0.3,interior,0.018978771776223778,0.013671875,0.0297538335,0.000116225912109375
equicorr_interior_rho0_3_d20,sobol_owen,256,reduced_conditional,30,20,0.3,interior,0.0017784819075909546,0.001415944440061545,0.0416657285,0.000162756751953125
equicorr_interior_rho0_3_d20,sobol_owen,1024,current_indicator,30,20,0.3,interior,0.00952117869379699,0.0078125,0.1238565415,0.00012095365380859375
equicorr_interior_rho0_3_d20,sobol_owen,1024,reduced_conditional,30,20,0.3,interior,0.00036740114780587274,0.00021313861579380644,0.16715535450000002,0.00016323765087890627
equicorr_interior_rho0_3_d20,sobol_owen,4096,current_indicator,30,20,0.3,interior,0.005272278952162755,0.0042724609375,0.506055979,0.00012354882299804687
equicorr_interior_rho0_3_d20,sobol_owen,4096,reduced_conditional,30,20,0.3,interior,0.00015094776121920512,8.222964408605149e-5,0.671061125,0.00016383328247070313
equicorr_interior_rho0_3_d20,sobol_owen,16384,current_indicator,30,20,0.3,interior,0.0019544001532874776,0.0010294762344807418,2.1803874585000003,0.0001330802892150879
equicorr_interior_rho0_3_d20,sobol_owen,16384,reduced_conditional,30,20,0.3,interior,3.715771802977441e-5,2.417914939881194e-5,2.886123167,0.00017615497845458985
equicorr_interior_rho0_3_d50,sobol_owen,256,current_indicator,30,50,0.3,interior,0.021978633208687703,0.015581294585473415,0.44869633400000003,0.0017527200546875001
equicorr_interior_rho0_3_d50,sobol_owen,256,reduced_conditional,30,50,0.3,interior,0.004771888203696044,0.0023566904396237764,0.33273539500000004,0.0012997476367187502
equicorr_interior_rho0_3_d50,sobol_owen,1024,current_indicator,30,50,0.3,interior,0.013574165484312563,0.009809330414526585,1.7512351455,0.0017101905717773437
equicorr_interior_rho0_3_d50,sobol_owen,1024,reduced_conditional,30,50,0.3,interior,0.0015788983198671913,0.0009368548248363529,1.3314119375,0.0013002069702148437
equicorr_interior_rho0_3_d50,sobol_owen,4096,reduced_conditional,30,50,0.3,interior,0.0006456139162754743,0.00044055579386914623,5.4297515205,0.0013256229298095703
equicorr_interior_rho0_8_d100,sobol_owen,256,current_indicator,30,100,0.8,interior,0.014018209955902037,0.006735482572178375,3.9084575415,0.015267412271484374
equicorr_interior_rho0_8_d100,sobol_owen,256,reduced_conditional,30,100,0.8,interior,0.005319095593167815,0.003260136201741315,1.781646271,0.00695955574609375
equicorr_interior_rho0_8_d20,sobol_owen,256,current_indicator,30,20,0.8,interior,0.013197278929763474,0.009196374114657901,0.0302505,0.000118166015625
equicorr_interior_rho0_8_d20,sobol_owen,256,reduced_conditional,30,20,0.8,interior,0.0025624935311457046,0.0016845835487856453,0.042771979,0.00016707804296875
equicorr_interior_rho0_8_d20,sobol_owen,1024,current_indicator,30,20,0.8,interior,0.006048480380735186,0.00390625,0.126173374,0.000123216185546875
equicorr_interior_rho0_8_d20,sobol_owen,1024,reduced_conditional,30,20,0.8,interior,0.0006841790879900019,0.0005323141472645121,0.170561312,0.00016656378125
equicorr_interior_rho0_8_d20,sobol_owen,4096,current_indicator,30,20,0.8,interior,0.0026669321479238736,0.0022782352603420986,0.517800355,0.00012641610229492187
equicorr_interior_rho0_8_d20,sobol_owen,4096,reduced_conditional,30,20,0.8,interior,0.00030039740518166816,0.0001779850816320816,0.68588125,0.00016745147705078125
equicorr_interior_rho0_8_d20,sobol_owen,16384,current_indicator,30,20,0.8,interior,0.0015835461426548121,0.0012406376040920986,2.234172541,0.00013636307012939453
equicorr_interior_rho0_8_d20,sobol_owen,16384,reduced_conditional,30,20,0.8,interior,9.018183084556632e-5,6.457755264738241e-5,2.940136667,0.00017945170086669922
equicorr_interior_rho0_8_d50,sobol_owen,256,current_indicator,30,50,0.8,interior,0.011330700228976007,0.005536483301196271,0.454368167,0.00177487565234375
equicorr_interior_rho0_8_d50,sobol_owen,256,reduced_conditional,30,50,0.8,interior,0.004091286419531018,0.0035722696840602697,0.332766354,0.0012998685703125
equicorr_interior_rho0_8_d50,sobol_owen,1024,current_indicator,30,50,0.8,interior,0.006505597099849792,0.003583358301196271,1.775191334,0.001733585287109375
equicorr_interior_rho0_8_d50,sobol_owen,1024,reduced_conditional,30,50,0.8,interior,0.0014029701040911746,0.0011299430509673636,1.3318580629999999,0.0013006426396484374
equicorr_interior_rho0_8_d50,sobol_owen,4096,reduced_conditional,30,50,0.8,interior,0.0004908502455182628,0.00034661594971791,5.491607729,0.0013407245432128906
equicorr_cdf_rho0_3_d300,sobol_owen,256,reduced_conditional,1,300,0.3,cdf,0.0011296781010692314,0.0011296781010692314,19.743340665999998,0.07712242447656249
